Год;Инфляция;Всего по экономике;Сельское и лесное хозяйство, охота;Добыча топливно-энергетических полезных ископаемых;Связь;Образование
2000;20.2;2223;985;6985;2879;1240
2001;18.58;3240;1435;10905;4131;1833
2002;15.06;4360;1876;13080;5662;2927
2003;11.99;5499;2340;16136;7304;3387
2004;11.74;6740;3015;19903;8974;4203
2005;10.91;8555;3646;23456;11389;5430
2006;9.0;10634;4569;27615;13220;6983
2007;11.87;13593;6144;33276;16043;8778
2008;13.28;17290;8475;39051;19918;11317
2009;8.8;18638;9619;41568;20923;13294
2010;8.78;20952;10668;46271;24275;14075
2011;6.1;23369;12464;51588;26995;15809
2012;6.58;26629;14129;57210;28701;18995
2013;6.45;29792;15724;61084;31346;23458
2014;11.36;32495;17724;66780;33705;25862
2015;12.91;34030;19721;71418;34958;26928
2016;5.38;36709;21755;77586;37984;28088
2017;2.52;39167;25671;104078;58811;30258
2018;4.27;43724;28699;127771;66590;34361
2019;3.05;47867;31728;135364;75898;37072
2020;4.91;51344;34770;142175;85648;39563
2021;8.39;57244;39437;149585;97434;43391
2022;11.92;65338;46777;165624;121262;48400
2023;7.42;73709;52868;180515;130326;54263
