Год;В целом по экономике;Сельское и лесное хозяйство. охота;Добыча полезных ископаемых;Транспорт и связь
2003;107;105.6;109.2;107.5
2004;106.5;102.9;107.3;108.7
2005;105.5;101.8;106.3;102.1
2006;107.5;104.3;103.3;110.7
2007;107.5;105;103.1;107.5
2008;104.8;110;100.9;106.4
2009;95.9;104.6;108.5;95.4
2010;103.2;88.3;104.3;103.2
2011;103.3;115.1;102.7;105.4
2012;103.8;99.6;101.5;106.3
2013;102.1;106.4;100.4;103.3
2014;100.8;105.6;103.3;99.6
2015;98.7;103.5;100.3;100.4
2016;100.1;102.6;101.4;93.3
2017;102.1;105.8;100.9;101.2
2018;103.1;101.6;101.4;103.7
2019;102.4;106;101.6;106.1
2020;99.6;100.2;95.2;101.8
2021;103.7;100;100.7;103.7
2022;96.4;108.7;96.6;97.2
